default,student,balance,income
No,Yes,489.0,15912.30458
No,Yes,597.0,9518.832332
No,No,1310.0,47432.43278
No,No,1407.0,27667.83603
No,No,965.0,49646.80657
No,No,414.0,44803.36028
No,No,1315.0,42694.97507
No,No,962.0,43974.05687
No,No,458.0,43134.54801
No,Yes,344.0,20439.68811
No,Yes,346.0,17866.52804
No,No,939.0,45519.01898
No,No,463.0,35621.08035
No,No,399.0,54329.92293
No,No,464.0,38236.74002
No,Yes,386.0,22527.64722
No,Yes,979.0,17666.3871
No,No,966.0,10174.7298
Yes,No,1964.0,39054.58914
No,Yes,1172.0,22792.62169
Yes,No,1758.0,49787.45657
Yes,No,1809.0,33453.40654
Yes,No,1723.0,43143.16449
No,Yes,379.0,18280.36703
No,Yes,973.0,16984.61076
No,Yes,341.0,12351.82596
No,No,950.0,37486.24955
No,No,455.0,45611.47645
No,Yes,1050.0,16963.81269
No,No,961.0,29304.45772
No,Yes,1197.0,10834.11138
No,Yes,485.0,21278.34081
Yes,No,1954.0,35067.53492
No,Yes,359.0,21783.26949
No,Yes,1041.0,12488.73193
No,No,954.0,45281.36985
No,No,468.0,25231.34623
No,No,965.0,46218.46056
No,No,955.0,42963.66173
No,No,897.0,47816.41161
Yes,No,1891.0,34448.69385
Yes,No,2075.0,38988.85925
No,Yes,341.0,21278.82614
No,No,941.0,41560.47099
No,Yes,602.0,12927.7128
Yes,Yes,2126.0,19539.14861
Yes,Yes,2035.0,17133.96596
Yes,No,1893.0,31821.72558
No,No,475.0,42058.77731
No,Yes,1040.0,21212.68268
No,Yes,1043.0,9595.587571
No,No,953.0,20749.33816
No,No,1309.0,34469.98017
No,No,451.0,38348.49032
Yes,Yes,1708.0,10591.71742
No,No,461.0,15755.64723
No,No,1419.0,35619.96673
No,Yes,385.0,21619.66341
No,Yes,1197.0,25651.53638
No,No,440.0,28215.47884
No,No,946.0,39928.2439
No,Yes,14.0,19322.54503
No,Yes,978.0,15073.78785
No,Yes,1036.0,15067.74824
No,No,1226.0,42203.20816
No,No,475.0,41288.8291
No,No,1501.0,39891.8641
No,No,1494.0,32742.85821
No,Yes,97.0,12731.75755
No,No,469.0,58360.38912
No,Yes,1307.0,18082.55489
No,No,449.0,13124.56319
No,No,444.0,43424.93499
No,No,940.0,52383.27522
No,Yes,1193.0,16430.01599
No,Yes,1305.0,18074.07542
No,Yes,1183.0,13210.87763
No,No,1101.0,32153.01359
No,Yes,598.0,21296.6123
No,No,963.0,28660.93057
No,Yes,1200.0,16454.74984
No,Yes,1177.0,17632.7121
Yes,No,1801.0,48708.95993
No,Yes,593.0,22786.91671
No,No,961.0,25478.81835
No,No,468.0,43435.83661
No,No,897.0,36296.74814
Yes,No,1928.0,35492.12823
Yes,Yes,2287.0,18692.14431
Yes,No,1806.0,40119.78783
No,Yes,45.0,26346.81193
No,Yes,495.0,22938.13687
No,Yes,490.0,24403.07667
Yes,No,1981.0,28127.89547
No,No,949.0,14095.80961
No,Yes,1039.0,17055.79504
Yes,No,2039.0,58606.48624
Yes,No,1848.0,30202.84624
No,Yes,378.0,19571.3923
No,Yes,354.0,20531.49654
Yes,Yes,2111.0,19345.10473
No,No,901.0,48855.45084
No,Yes,492.0,8352.208988
No,No,950.0,47702.57375
No,No,1496.0,37534.32924
No,No,478.0,24273.41864
No,No,455.0,36590.55036
No,No,471.0,28417.74199
No,No,546.0,35714.65113
Yes,No,1976.0,38221.83974
No,Yes,1184.0,23235.65679
No,Yes,1182.0,17223.36723
No,No,405.0,52571.18413
No,No,445.0,51584.33636
No,Yes,358.0,18141.00282
No,No,444.0,35924.33879
No,No,450.0,52446.41
No,Yes,1310.0,24267.77776
No,No,963.0,25063.49298
No,No,464.0,16670.15281
No,No,1309.0,31777.20188
No,No,897.0,31465.96477
Yes,Yes,2262.0,20030.16512
No,No,1314.0,40843.09978
No,Yes,494.0,20500.21263
No,No,958.0,15052.44572
No,No,404.0,55458.89125
No,Yes,339.0,19307.98029
Yes,No,2049.0,52568.90881
No,No,414.0,42453.68188
No,No,450.0,20080.10212
No,Yes,597.0,12660.81457
Yes,Yes,1571.0,16239.15317
No,Yes,20.0,21530.33151
No,No,601.0,38426.25934
No,Yes,1183.0,17287.74847
Yes,No,1824.0,44260.15637
No,No,1408.0,52746.13315
No,No,1313.0,29938.25946
Yes,No,2413.0,38540.57271
No,No,965.0,37705.24322
No,No,963.0,30100.76227
Yes,Yes,2206.0,14271.49225
No,Yes,378.0,18659.77213
Yes,Yes,2208.0,19780.76352
No,Yes,974.0,21590.0349
No,No,1419.0,33960.56774
No,Yes,617.0,22801.66397
Yes,Yes,2462.0,11878.55704
Yes,Yes,1804.0,29100.81923
No,No,1496.0,24935.91874
No,Yes,1177.0,13737.05034
No,No,1408.0,43033.93593
No,Yes,390.0,9114.275289
No,No,897.0,35755.74845
No,No,691.0,59561.9052
Yes,No,1758.0,51991.46349
No,Yes,492.0,23689.7895
No,No,1493.0,51510.14807
Yes,No,1750.0,51578.94016
Yes,No,1914.0,55573.70171
No,Yes,976.0,18246.81572
No,No,960.0,23482.83561
No,Yes,1039.0,21839.72003
No,Yes,616.0,14663.56388
No,No,414.0,47811.41892
No,No,959.0,31357.44633
No,No,406.0,36750.49898
Yes,Yes,2578.0,25706.64777
No,No,898.0,37899.66779
No,No,965.0,36676.57165
No,Yes,1191.0,20291.17198
No,No,1407.0,22806.84821
Yes,Yes,2182.0,22037.85969
Yes,Yes,1789.0,17667.78222
Yes,Yes,1647.0,16154.46228
No,Yes,1306.0,20776.38865
No,No,450.0,34206.27365
No,No,737.0,50264.76017
No,Yes,346.0,15967.99085
No,No,1494.0,38744.22826
No,No,1505.0,30773.74284
No,Yes,978.0,17637.7342
No,Yes,1198.0,17452.00004
No,Yes,1303.0,29252.36143
No,Yes,1035.0,18614.0375
Yes,No,1742.0,35067.42512
No,No,1408.0,47496.16431
No,No,1416.0,33099.49688
No,No,969.0,41714.98984
No,No,954.0,41250.47804
No,No,466.0,26598.12135
No,No,443.0,55074.13083
Yes,Yes,1573.0,14930.17833
Yes,No,2129.0,42096.50237
No,No,440.0,49358.42579
No,No,459.0,49958.7568
No,No,962.0,60455.46313
No,No,444.0,37599.42019
Yes,No,1845.0,35508.67542
No,Yes,978.0,19731.96099
No,Yes,1182.0,22142.05215
No,Yes,20.0,20514.17137
No,No,480.0,43743.62231
Yes,No,1857.0,33445.61687
No,No,466.0,30792.88359
No,No,407.0,45376.23591
Yes,Yes,1867.0,24720.48056
No,No,453.0,62912.44434
Yes,Yes,1872.0,18077.48709
No,No,1315.0,52556.15383
No,No,455.0,45572.17248
Yes,No,1940.0,41162.93366
No,No,1412.0,47727.56463
No,No,965.0,32549.55151
No,Yes,1182.0,18102.83375
No,Yes,610.0,19010.12579
No,No,1315.0,33706.55936
Yes,No,1791.0,44607.42902
No,Yes,1039.0,10414.55435
No,No,461.0,37129.27082
No,No,1313.0,64402.60891
No,No,1505.0,38223.24598
No,Yes,1036.0,30531.61311
No,No,455.0,41378.99712
